station,variable,index,mic,p_value_perm,pearson_r,NL_statistic,sig_p010,sig_p005,sig_p001
Edirne,Jan,AO,0.17044057136745044,0.024975024975024976,-0.3703437168248606,0.03328610277579791,True,True,False
Edirne,Jan,NAO,0.09438884619897016,0.3036963036963037,-0.27862868354911974,0.016754902902654648,False,False,False
Edirne,Jan,PNA,0.03597336132827785,0.8951048951048951,0.24859656152288748,-0.02582688907272493,False,False,False
Edirne,Jan,ENSO,0.09988208074498767,0.22277722277722278,0.08079854349574558,0.09335367611395377,False,False,False
Edirne,Feb,AO,0.17937433557608756,0.01098901098901099,-0.5142057212079113,-0.08503318814686062,True,True,False
Edirne,Feb,NAO,0.09988208074498779,0.2127872127872128,-0.39500481699047063,-0.05614672470068739,False,False,False
Edirne,Feb,PNA,0.10267718204853334,0.2047952047952048,0.07960495937037747,0.09634023249217388,False,False,False
Edirne,Feb,ENSO,0.04073416371774297,0.8711288711288712,0.055994131694581714,0.037598820933512814,False,False,False
Edirne,Mar,AO,0.11176613944827198,0.14785214785214784,-0.3208442390398094,0.008825113723237618,False,False,False
Edirne,Mar,NAO,0.11176613944827196,0.18181818181818182,-0.2681819361792913,0.03984458855539848,False,False,False
Edirne,Mar,PNA,0.0407341637177431,0.8061938061938062,-0.06055511738863847,0.03706724147579131,False,False,False
Edirne,Mar,ENSO,0.02929257688189214,0.945054945054945,-0.15214279690493954,0.006145146231834462,False,False,False
Edirne,Apr,AO,0.06536333275640832,0.5584415584415584,-0.07252612985737408,0.060103293244319636,False,False,False
Edirne,Apr,NAO,0.01936627036355419,0.985014985014985,-0.0669952786200979,0.014877903006169646,False,False,False
Edirne,Apr,PNA,0.0639555304686693,0.5954045954045954,0.00047853825445580943,0.06395530146980832,False,False,False
Edirne,Apr,ENSO,0.024393330528640893,0.98001998001998,0.05823635111285214,0.0210018579377015,False,False,False
Edirne,May,AO,0.05811145696704488,0.6713286713286714,0.04795586398266808,0.055811692076720716,False,False,False
Edirne,May,NAO,0.05537678574542087,0.7662337662337663,-0.08520278867614968,0.04811727054722825,False,False,False
Edirne,May,PNA,0.042456266981937024,0.8061938061938062,-0.07447242748794751,0.03691012452598942,False,False,False
Edirne,May,ENSO,0.08354124755588546,0.3836163836163836,0.038787452922014645,0.08203678105170796,False,False,False
Edirne,Jun,AO,0.030208277658400635,0.952047952047952,0.08407088506700396,0.023140363942451246,False,False,False
Edirne,Jun,NAO,0.06933029939200946,0.4885114885114885,0.06838980527874254,0.06465313392594514,False,False,False
Edirne,Jun,PNA,0.06287004001026748,0.6213786213786214,0.17582177875319985,0.031956742126328326,False,False,False
Edirne,Jun,ENSO,0.06536333275640832,0.5284715284715285,0.08301522360350194,0.058471805406468895,False,False,False
Edirne,Jul,AO,0.04073416371774309,0.8411588411588412,0.027860858276840123,0.03995793629382092,False,False,False
Edirne,Jul,NAO,0.0998820807449877,0.24375624375624375,0.10485980879754382,0.08888650124393024,False,False,False
Edirne,Jul,PNA,0.0950647655921996,0.25874125874125875,0.05657324454023195,0.09186423359439072,False,False,False
Edirne,Jul,ENSO,0.14565620913768362,0.05094905094905095,-0.1316472641494768,0.1283252069796415,True,False,False
Edirne,Aug,AO,0.04835469493892034,0.7592407592407593,-0.06506285921361801,0.044121519289869265,False,False,False
Edirne,Aug,NAO,0.03390194557478787,0.9210789210789211,0.04698340527140191,0.031694505203891075,False,False,False
Edirne,Aug,PNA,0.05707499690684506,0.7012987012987013,-0.13022855373254622,0.040115520699574386,False,False,False
Edirne,Aug,ENSO,0.11072967938807216,0.1918081918081918,0.10077286034187392,0.10057451000658933,False,False,False
Edirne,Sep,AO,0.04073416371774278,0.8541458541458542,-0.1656061660616835,0.013308761480092891,False,False,False
Edirne,Sep,NAO,0.0424562669819369,0.7842157842157842,-0.13751936572515105,0.02354469103248905,False,False,False
Edirne,Sep,PNA,0.08610051034940687,0.33166833166833165,0.1279253336771725,0.06973561935299094,False,False,False
Edirne,Sep,ENSO,0.12810697263737417,0.08791208791208792,-0.061070985629003725,0.12437730735167618,True,False,False
Edirne,Oct,AO,0.08328381303859807,0.37462537462537465,-0.1710451188274293,0.05402738036390867,False,False,False
Edirne,Oct,NAO,0.06616395430658371,0.5294705294705294,-0.048541113872363324,0.06380771457061397,False,False,False
Edirne,Oct,PNA,0.09438884619897005,0.2907092907092907,-0.06254380622804355,0.09047711850147899,False,False,False
Edirne,Oct,ENSO,0.08354124755588571,0.35364635364635366,0.1104627125096358,0.07133923670089926,False,False,False
Edirne,Nov,AO,0.0835412475558856,0.34865134865134867,-0.33002676309579526,-0.025376416803602572,False,False,False
Edirne,Nov,NAO,0.04073416371774298,0.8561438561438561,-0.20700483276838988,-0.00211683707172608,False,False,False
Edirne,Nov,PNA,0.09800846115546087,0.21678321678321677,0.06678957908610267,0.0935476132809621,False,False,False
Edirne,Nov,ENSO,0.06287004001026748,0.5854145854145855,-0.02535283040529491,0.062227274000707836,False,False,False
Edirne,Dec,AO,0.1444478058264762,0.06293706293706294,-0.2599070081579853,0.07689615293684117,True,False,False
Edirne,Dec,NAO,0.03406896539401062,0.9110889110889111,-0.005992944985236025,0.034033050004414554,False,False,False
Edirne,Dec,PNA,0.04395462974967254,0.7792207792207793,0.026747739439388896,0.0432391881845551,False,False,False
Edirne,Dec,ENSO,0.06933029939200959,0.4915084915084915,0.056206862818315786,0.06617108796413262,False,False,False
Edirne,Winter,AO,0.111766139448272,0.13086913086913088,-0.5112722174158645,-0.149633140853063,False,False,False
Edirne,Winter,NAO,0.15002679833911972,0.04395604395604396,-0.2682741784718671,0.07805576350436454,True,True,False
Edirne,Winter,PNA,0.08610051034940687,0.3386613386613387,0.14015803292888765,0.06645623615491171,False,False,False
Edirne,Winter,ENSO,0.04073416371774297,0.8721278721278721,0.1033223345405549,0.03005865890283263,False,False,False
Edirne,Spring,AO,0.1643843618692993,0.030969030969030968,-0.12086460518245935,0.14977610908338754,True,True,False
Edirne,Spring,NAO,0.06287004001026758,0.5894105894105894,-0.0742750494984215,0.05735325703227462,False,False,False
Edirne,Spring,PNA,0.035752836263634125,0.9040959040959041,-0.04148385794184838,0.03403192579389467,False,False,False
Edirne,Spring,ENSO,0.056166609291964695,0.7362637362637363,-0.03754503426439099,0.0547569796940504,False,False,False
Edirne,Summer,AO,0.07445229015614697,0.4435564435564436,0.003863601219631918,0.07443736274176263,False,False,False
Edirne,Summer,NAO,0.025493328929302027,0.972027972027972,0.1301808015424336,0.008546287839071541,False,False,False
Edirne,Summer,PNA,0.058111456967044894,0.6373626373626373,0.08569004505071168,0.0507686731462519,False,False,False
Edirne,Summer,ENSO,0.07445229015614709,0.4085914085914086,-0.02315805353477381,0.07391599471262764,False,False,False
Edirne,Autumn,AO,0.14804352868019718,0.059940059940059943,-0.18570042166408054,0.11355888207397988,True,False,False
Edirne,Autumn,NAO,0.05317116067322113,0.7272727272727273,-0.03503541911232478,0.05194368008084487,False,False,False
Edirne,Autumn,PNA,0.06623528190229955,0.5204795204795205,0.03854325147269297,0.0647496996682123,False,False,False
Edirne,Autumn,ENSO,0.04982312111748161,0.7562437562437563,0.049730356882435156,0.04735001272182725,False,False,False
Edirne,Annual,AO,0.15002679833911972,0.04595404595404595,-0.2935586278623666,0.0638501303466843,True,True,False
Edirne,Annual,NAO,0.17937433557608767,0.016983016983016984,-0.25486329400045954,0.114419036947323,True,True,False
Edirne,Annual,PNA,0.05811145696704488,0.6673326673326674,0.10704640286559591,0.04665252460058142,False,False,False
Edirne,Annual,ENSO,0.1245989586293199,0.11988011988011989,-0.07600877335688498,0.11882162500210158,False,False,False
Edirne,Wheat,AO,0.17949478364911464,0.014985014985014986,-0.3849081829254254,0.03134047436616191,True,True,False
Edirne,Wheat,NAO,0.17937433557608767,0.013986013986013986,-0.3536088524717175,0.05433511502972277,True,True,False
Edirne,Wheat,PNA,0.058111456967044735,0.6643356643356644,0.06378272692051795,0.05404322071362737,False,False,False
Edirne,Wheat,ENSO,0.06287004001026758,0.5724275724275725,0.05442115415422242,0.05990837799078994,False,False,False
Edirne,Sunflower,AO,0.04073416371774298,0.8571428571428571,-0.05669259323368091,0.037520113590183375,False,False,False
Edirne,Sunflower,NAO,0.1111721512555056,0.13986013986013987,-0.09035648490593232,0.10300785689094963,False,False,False
Edirne,Sunflower,PNA,0.07445229015614697,0.4275724275724276,0.10037589029338116,0.06437697080395809,False,False,False
Edirne,Sunflower,ENSO,0.04982312111748173,0.7302697302697303,-0.052939952755065356,0.04702048251977318,False,False,False
Kırklareli,Jan,AO,0.11176613944827196,0.15984015984015984,-0.4387161589055737,-0.08070572863658862,False,False,False
Kırklareli,Jan,NAO,0.08685511761660449,0.3226773226773227,-0.33414352470253256,-0.024796777484027505,False,False,False
Kırklareli,Jan,PNA,0.058111456967045005,0.6053946053946054,0.19148305360159837,0.021445697150452414,False,False,False
Kırklareli,Jan,ENSO,0.12810697263737417,0.10789210789210789,0.08263882134972339,0.12127779784330267,False,False,False
Kırklareli,Feb,AO,0.09720884422282458,0.2547452547452547,-0.4375278162980744,-0.09422174581173698,False,False,False
Kırklareli,Feb,NAO,0.09988208074498778,0.22877122877122877,-0.3279324832427333,-0.007657632820757765,False,False,False
Kırklareli,Feb,PNA,0.06287004001026748,0.5814185814185814,0.06634309545168246,0.05846863369615643,False,False,False
Kırklareli,Feb,ENSO,0.06536333275640832,0.5704295704295704,0.05508223553931954,0.062329280084399245,False,False,False
Kırklareli,Mar,AO,0.0943888461989701,0.25574425574425574,-0.38066514232365267,-0.05051710438131664,False,False,False
Kırklareli,Mar,NAO,0.16438436186929933,0.01998001998001998,-0.291892019219206,0.07918341098543402,True,True,False
Kırklareli,Mar,PNA,0.056166609291964695,0.7282717282717283,0.020869081601441058,0.055731090725077086,False,False,False
Kırklareli,Mar,ENSO,0.09130503043715796,0.28771228771228774,-0.07178790459679238,0.08615152719075979,False,False,False
Kırklareli,Apr,AO,0.040734163717743084,0.8291708291708292,-0.06661870964616345,0.036296111242823254,False,False,False
Kırklareli,Apr,NAO,0.049823121117481724,0.7632367632367633,-0.05851983934960478,0.04639854951997817,False,False,False
Kırklareli,Apr,PNA,0.09456774190356909,0.25874125874125875,-0.0828846900751339,0.08769787005471809,False,False,False
Kırklareli,Apr,ENSO,0.029292576881892275,0.948051948051948,0.04056828660115223,0.027646791004139047,False,False,False
Kırklareli,May,AO,0.06287004001026748,0.5964035964035964,-0.12542977551605372,0.047137411424259854,False,False,False
Kırklareli,May,NAO,0.06933029939200959,0.46553446553446554,-0.09286435834802267,0.06070651034061962,False,False,False
Kırklareli,May,PNA,0.07913940051287154,0.41058941058941056,0.11563210517175608,0.06576861676641947,False,False,False
Kırklareli,May,ENSO,0.07913940051287155,0.37162837162837165,0.09848040241770294,0.06944101085251884,False,False,False
Kırklareli,Jun,AO,0.03189739146854763,0.957042957042957,-4.562610489931363e-05,0.03189738938680618,False,False,False
Kırklareli,Jun,NAO,0.06287004001026758,0.6053946053946054,0.014358822652888409,0.06266386422229048,False,False,False
Kırklareli,Jun,PNA,0.09130503043715797,0.3066933066933067,0.08035188980218097,0.08484860424237614,False,False,False
Kırklareli,Jun,ENSO,0.05537678574542087,0.7282717282717283,-0.1081617065040503,0.04367783099155255,False,False,False
Kırklareli,Jul,AO,0.02549332892930198,0.967032967032967,-0.028921443421464778,0.024656879039720993,False,False,False
Kırklareli,Jul,NAO,0.04982312111748148,0.7572427572427572,0.1551469853587531,0.025752534051572334,False,False,False
Kırklareli,Jul,PNA,0.11072967938807214,0.17482517482517482,0.0834022820080816,0.10377373874391657,False,False,False
Kırklareli,Jul,ENSO,0.07445229015614707,0.4155844155844156,0.07443471099179177,0.06891176395571551,False,False,False
Kırklareli,Aug,AO,0.057074996906845046,0.6973026973026973,-0.13682577196714263,0.03835370503244053,False,False,False
Kırklareli,Aug,NAO,0.023592027717635394,0.993006993006993,0.09015508018467241,0.015464089234530682,False,False,False
Kırklareli,Aug,PNA,0.05537678574542087,0.7432567432567433,0.00022357248423706191,0.05537673576076516,False,False,False
Kırklareli,Aug,ENSO,0.07445229015614707,0.4205794205794206,0.1948968516331967,0.03646750737961479,False,False,False
Kırklareli,Sep,AO,0.0835412475558856,0.34465534465534464,-0.08691266334882453,0.0759874365054995,False,False,False
Kırklareli,Sep,NAO,0.0661639543065838,0.5204795204795205,-0.04996666601518839,0.06366728659391041,False,False,False
Kırklareli,Sep,PNA,0.12253171200217156,0.1038961038961039,0.26793413626398027,0.050743010626646406,False,False,False
Kırklareli,Sep,ENSO,0.08354124755588546,0.3946053946053946,-0.018667982808906546,0.08319275397373183,False,False,False
Kırklareli,Oct,AO,0.16438436186929928,0.03596403596403597,-0.22531649247431607,0.11361684008837075,True,True,False
Kırklareli,Oct,NAO,0.0661639543065838,0.5334665334665335,-0.08580898632920189,0.05880077217173864,False,False,False
Kırklareli,Oct,PNA,0.11072967938807225,0.16683316683316685,-0.1277431808343423,0.09441135913839677,False,False,False
Kırklareli,Oct,ENSO,0.05707499690684507,0.6933066933066933,-0.03679938741801856,0.05572080199250364,False,False,False
Kırklareli,Nov,AO,0.06933029939200946,0.4855144855144855,-0.23793139845002922,0.012718949023622896,False,False,False
Kırklareli,Nov,NAO,0.0835412475558856,0.3516483516483517,-0.32535751254691614,-0.02231626341483109,False,False,False
Kırklareli,Nov,PNA,0.058111456967044874,0.6853146853146853,0.003932062872172314,0.058095995848614156,False,False,False
Kırklareli,Nov,ENSO,0.10817041659455108,0.1888111888111888,-0.07642536432358986,0.10232958028255763,False,False,False
Kırklareli,Dec,AO,0.09079312334524914,0.3166833166833167,-0.2738119350073801,0.015820147592763387,False,False,False
Kırklareli,Dec,NAO,0.024393330528641018,0.965034965034965,0.03662601473043986,0.02305186557360662,False,False,False
Kırklareli,Dec,PNA,0.07046467579348169,0.44155844155844154,-0.10094477621769161,0.06027482794784185,False,False,False
Kırklareli,Dec,ENSO,0.0754887502163468,0.4015984015984016,-0.038993351907555464,0.07396826872336033,False,False,False
Kırklareli,Winter,AO,0.1456562091376834,0.05194805194805195,-0.47125177996523815,-0.07642203098272182,True,False,False
Kırklareli,Winter,NAO,0.14444780582647623,0.057942057942057944,-0.255702851922216,0.07906385734532152,True,False,False
Kırklareli,Winter,PNA,0.11117215125550549,0.16483516483516483,0.05074836088278395,0.10859675512321622,False,False,False
Kırklareli,Winter,ENSO,0.10419244148593251,0.20679320679320679,0.05024338754489765,0.10166804349394573,False,False,False
Kırklareli,Spring,AO,0.20400350461475295,0.007992007992007992,-0.23559746380450236,0.14849733966363915,True,True,True
Kırklareli,Spring,NAO,0.09079312334524914,0.30569430569430567,-0.07375840147052774,0.08535282155776158,False,False,False
Kırklareli,Spring,PNA,0.016128886781847374,0.996003996003996,0.07921655634045152,0.009853623983407445,False,False,False
Kırklareli,Spring,ENSO,0.07445229015614696,0.4675324675324675,0.03639994953994452,0.07312733382963646,False,False,False
Kırklareli,Summer,AO,0.09079312334524882,0.30569430569430567,-0.04477297302425902,0.08878850423181779,False,False,False
Kırklareli,Summer,NAO,0.08354124755588546,0.35764235764235763,0.1619020276103298,0.05732898101154947,False,False,False
Kırklareli,Summer,PNA,0.07445229015614697,0.44455544455544455,0.20229164702276387,0.03353037970096449,False,False,False
Kırklareli,Summer,ENSO,0.04073416371774297,0.8951048951048951,-0.00117725539475887,0.04073277778747848,False,False,False
Kırklareli,Autumn,AO,0.0661639543065838,0.5324675324675324,-0.26350835073097073,-0.003272696598372482,False,False,False
Kırklareli,Autumn,NAO,0.1643843618692993,0.027972027972027972,-0.13133857911417954,0.1471345395055677,True,True,False
Kırklareli,Autumn,PNA,0.0706625132939745,0.4595404595404595,0.0775866985945601,0.06464281749517138,False,False,False
Kırklareli,Autumn,ENSO,0.04073416371774298,0.8561438561438561,-0.05089867607028888,0.038143488492034784,False,False,False
Kırklareli,Annual,AO,0.11981863678781078,0.12287712287712288,-0.32380780417474825,0.014967142743338671,False,False,False
Kırklareli,Annual,NAO,0.19731460377752288,0.01098901098901099,-0.2948110376194642,0.11040105587525775,True,True,False
Kırklareli,Annual,PNA,0.09456774190356909,0.26673326673326675,0.13789427676872199,0.07555291033800018,False,False,False
Kırklareli,Annual,ENSO,0.07913940051287154,0.3836163836163836,-0.09404211215281427,0.07029548165470903,False,False,False
Kırklareli,Wheat,AO,0.15002679833911972,0.05194805194805195,-0.2793585079224704,0.07198562239045075,True,False,False
Kırklareli,Wheat,NAO,0.14804352868019724,0.04395604395604396,-0.2166418951758737,0.10110981793480299,True,True,False
Kırklareli,Wheat,PNA,0.11072967938807214,0.18281718281718282,-0.04529578976622316,0.10867797081752625,False,False,False
Kırklareli,Wheat,ENSO,0.06536333275640832,0.5764235764235764,-0.003974041760687446,0.06534753974849264,False,False,False
Kırklareli,Sunflower,AO,0.0639555304686693,0.5824175824175825,-0.11579702661409452,0.05054657909600398,False,False,False
Kırklareli,Sunflower,NAO,0.11196197480204934,0.14485514485514486,0.014337740496700736,0.1117564039994986,False,False,False
Kırklareli,Sunflower,PNA,0.12253171200217168,0.1038961038961039,0.26097472612657596,0.054423904325330355,False,False,False
Kırklareli,Sunflower,ENSO,0.16303350238698555,0.030969030969030968,0.09399913313653607,0.15419766535656532,True,True,False
Lüleburgaz,Jan,AO,0.2170246835320185,0.005994005994005994,-0.4236495935536276,0.03754570541386465,True,True,True
Lüleburgaz,Jan,NAO,0.11176613944827198,0.15584415584415584,-0.32549398532240165,0.0058198049672121555,False,False,False
Lüleburgaz,Jan,PNA,0.05537678574542087,0.7632367632367633,0.1064915300273407,0.04403633977785686,False,False,False
Lüleburgaz,Jan,ENSO,0.04073416371774309,0.8561438561438561,0.05457881736898811,0.03775531641234573,False,False,False
Lüleburgaz,Feb,AO,0.12810697263737406,0.1048951048951049,-0.4502195603956161,-0.07459067992544777,False,False,False
Lüleburgaz,Feb,NAO,0.07445229015614697,0.4355644355644356,-0.35664938914470906,-0.05274649662114715,False,False,False
Lüleburgaz,Feb,PNA,0.08354124755588546,0.3516483516483517,0.1644828111198283,0.05648665240200435,False,False,False
Lüleburgaz,Feb,ENSO,0.08902805037529679,0.3226773226773227,0.13272106237782177,0.07141316997659913,False,False,False
Lüleburgaz,Mar,AO,0.07445229015614697,0.4385614385614386,-0.3554751026984793,-0.05191025848234744,False,False,False
Lüleburgaz,Mar,NAO,0.049823121117481585,0.7552447552447552,-0.23388996043625335,-0.004881392475390572,False,False,False
Lüleburgaz,Mar,PNA,0.05811145696704488,0.6433566433566433,0.0510423959630496,0.055506130781396136,False,False,False
Lüleburgaz,Mar,ENSO,0.08354124755588546,0.3516483516483517,-0.13060287738760853,0.06648413597396276,False,False,False
Lüleburgaz,Apr,AO,0.03268166637820416,0.929070929070929,0.13749230037171617,0.013777533716697939,False,False,False
Lüleburgaz,Apr,NAO,0.040734163717742786,0.8861138861138861,-0.03826448438336253,0.03926999295261819,False,False,False
Lüleburgaz,Apr,PNA,0.0407341637177431,0.8261738261738262,-0.1325564123454036,0.023162961263858427,False,False,False
Lüleburgaz,Apr,ENSO,0.016104994679077746,0.998001998001998,0.009055165276183245,0.016022998660898752,False,False,False
Lüleburgaz,May,AO,0.0407341637177431,0.8461538461538461,-0.04188693132797466,0.03897964870166863,False,False,False
Lüleburgaz,May,NAO,0.09800846115546073,0.25074925074925075,-0.0831057651752375,0.09110189295009902,False,False,False
Lüleburgaz,May,PNA,0.11196197480204934,0.13786213786213786,0.14736339117233543,0.09024600574423859,False,False,False
Lüleburgaz,May,ENSO,0.14804352868019724,0.054945054945054944,-0.09161414144085157,0.13965037776825287,True,False,False
Lüleburgaz,Jun,AO,0.11196197480204931,0.13986013986013987,0.2537491951077649,0.04757332078421077,False,False,False
Lüleburgaz,Jun,NAO,0.05811145696704501,0.6293706293706294,0.17536283588408638,0.027359332757736,False,False,False
Lüleburgaz,Jun,PNA,0.09438884619897006,0.2857142857142857,0.042512954536374326,0.09258149489555823,False,False,False
Lüleburgaz,Jun,ENSO,0.09800846115546075,0.26673326673326675,-0.14346968735816862,0.0774249099648101,False,False,False
Lüleburgaz,Jul,AO,0.04073416371774309,0.8331668331668332,0.12027240178785309,0.026268713085924322,False,False,False
Lüleburgaz,Jul,NAO,0.11072967938807224,0.15784215784215785,0.21845705795009507,0.06300619321986103,False,False,False
Lüleburgaz,Jul,PNA,0.024393330528640893,0.985014985014985,-0.024150649477777848,0.0238100766584424,False,False,False
Lüleburgaz,Jul,ENSO,0.09456774190356909,0.25374625374625376,-0.049275528484149664,0.09213966419617685,False,False,False
Lüleburgaz,Aug,AO,0.11842223418379133,0.13286713286713286,0.0753057275661139,0.11275128157952956,False,False,False
Lüleburgaz,Aug,NAO,0.06933029939200946,0.4975024975024975,0.24209453169967676,0.010720537113123665,False,False,False
Lüleburgaz,Aug,PNA,0.1726726977188625,0.01998001998001998,-0.20537563659063277,0.13049354561385484,True,True,False
Lüleburgaz,Aug,ENSO,0.04073416371774297,0.8651348651348651,0.02980455089423907,0.03984585246373568,False,False,False
Lüleburgaz,Sep,AO,0.03406896539401063,0.903096903096903,-0.1071419266655136,0.022589572944412335,False,False,False
Lüleburgaz,Sep,NAO,0.03597336132827781,0.9000999000999002,0.05520617463206748,0.03292563961077148,False,False,False
Lüleburgaz,Sep,PNA,0.0835412475558856,0.36563436563436563,0.1068038385826808,0.07213418761989027,False,False,False
Lüleburgaz,Sep,ENSO,0.058111456967045005,0.6093906093906094,0.012339753115998182,0.05795918746008122,False,False,False
Lüleburgaz,Oct,AO,0.023592027717635435,0.989010989010989,-0.1967078400080157,-0.015101946602983665,False,False,False
Lüleburgaz,Oct,NAO,0.029292576881892133,0.9590409590409591,-0.10937455257792442,0.017329784130270982,False,False,False
Lüleburgaz,Oct,PNA,0.058111456967044894,0.6563436563436563,-0.08955296195933378,0.050091723971355015,False,False,False
Lüleburgaz,Oct,ENSO,0.05811145696704488,0.6603396603396603,0.0932746878360515,0.04941128957613203,False,False,False
Lüleburgaz,Nov,AO,0.13081840239970155,0.08591408591408592,-0.2821477493578534,0.05121104993199947,True,False,False
Lüleburgaz,Nov,NAO,0.11842223418379143,0.13786213786213786,-0.34946548092965835,-0.003703888177605974,False,False,False
Lüleburgaz,Nov,PNA,0.0661639543065838,0.5454545454545454,0.029758865045852335,0.06527836425776655,False,False,False
Lüleburgaz,Nov,ENSO,0.11842223418379133,0.13886113886113885,-0.031380609869987475,0.11743749150797897,False,False,False
Lüleburgaz,Dec,AO,0.06616395430658371,0.5134865134865135,-0.28856750779328105,-0.017107252247441612,False,False,False
Lüleburgaz,Dec,NAO,0.09456774190356909,0.2517482517482518,-0.12186094619927947,0.0797176516949854,False,False,False
Lüleburgaz,Dec,PNA,0.09800846115546075,0.23976023976023977,-0.17643768965858136,0.06687820282340287,False,False,False
Lüleburgaz,Dec,ENSO,0.07445229015614697,0.44455544455544455,-0.051395502065918544,0.07181079252353914,False,False,False
Lüleburgaz,Winter,AO,0.15394454498724694,0.04295704295704296,-0.48015009645765594,-0.07659957014104937,True,True,False
